event_id,venue_id,cat_id,date_id,eventname,starttime
252,308,8,1984,Boris Godunov,07-06-2008 14:30
253,308,8,2140,Il Trovatore,10-11-2008 15:00
254,309,8,2080,Cavalleria Rusticana and Pagliacci,11-09-2008 19:00
255,300,8,2154,Carmen,24-11-2008 19:00
256,305,8,1972,Gotterdammerung,01-05-2008 14:30
257,307,8,2047,The Magic Flute,09-08-2008 20:00
258,305,8,2124,Doctor Atomic,25-10-2008 14:00
259,302,8,2018,Cavalleria Rusticana and Pagliacci,11-07-2008 20:00
260,305,8,2103,Adriana Lecouvreur,04-10-2008 14:00
261,308,8,2172,Das Rheingold,12-12-2008 20:00
262,309,8,2063,Das Rheingold,25-08-2008 14:30
263,301,8,1909,Boris Godunov,24-03-2008 19:30
264,308,8,2184,Ring Cycle,24-12-2008 14:00
265,303,8,1900,Don Giovanni,15-03-2008 15:00
266,308,8,2079,Salome,10-09-2008 19:30
267,303,8,1883,Rusalka,26-02-2008 14:00
268,306,8,1970,Thais,01-05-2008 20:00
269,308,8,2089,Boris Godunov,20-09-2008 19:30
270,307,8,2057,La Gioconda,19-08-2008 20:00
271,306,8,1980,Das Rheingold,03-06-2008 20:00
272,302,8,2171,Madama Butterfly,11-12-2008 19:00
273,305,8,2153,Simon Boccanegra,23-11-2008 14:30
274,305,8,1875,Siegfried,18-02-2008 19:00
275,300,8,2124,La Rondine,25-10-2008 15:00
276,304,8,2106,La Cenerentola (Cinderella),07-10-2008 19:30
277,309,8,2017,Siegfried,10-07-2008 20:00
278,308,8,2022,La Boheme,15-07-2008 19:30
279,300,8,1902,Gotterdammerung,17-03-2008 19:30
280,309,8,2128,The Magic Flute,29-10-2008 19:00
281,302,8,1868,Boris Godunov,11-02-2008 20:00
282,306,8,2187,Carmen,27-12-2008 14:00
283,304,8,2111,Gotterdammerung,12-10-2008 14:30
284,304,8,2008,Salome,01-07-2008 19:00
285,308,8,2172,Gotterdammerung,12-12-2008 15:00
286,308,8,2111,Rusalka,12-10-2008 14:00
287,302,8,1864,Rusalka,07-02-2008 19:30
288,300,8,1983,Siegfried,06-06-2008 20:00
289,300,8,2100,Adriana Lecouvreur,01-10-2008 19:30
290,307,8,1978,La Sonnambula,01-06-2008 15:00
291,301,8,2145,La Traviata,15-11-2008 19:30
292,304,8,2130,La Traviata,31-10-2008 19:30
293,308,8,1910,Il Trovatore,25-03-2008 19:00
294,301,8,1985,Adriana Lecouvreur,08-06-2008 19:30
295,300,8,2105,Carmen,06-10-2008 19:30
296,302,8,2086,Ring Cycle,17-09-2008 14:30
297,307,8,1927,Lucia di Lammermoor,11-04-2008 15:00
298,305,8,2076,Die Walkure,07-09-2008 20:00
299,302,8,2082,Orfeo ed Euridice,13-09-2008 15:00
